自治体,人口,経度,緯度
大町町,6293,130.116032,33.213871
江北町,9566,130.15731,33.220464
白石町,22051,130.143493,33.181082
太良町,8121,130.179126,33.019436
長崎市,409118,129.877906,32.750311
佐世保市,243223,129.71509,33.179904
島原市,43338,130.3703,32.787998
諫早市,133852,130.053601,32.844208
大村市,95397,129.958217,32.89996
平戸市,29365,129.553671,33.368065
松浦市,21271,129.709047,33.341023
対馬市,28502,129.287518,34.202643
壱岐市,24948,129.691377,33.749978
五島市,34391,128.84089,32.695777
西海市,26275,129.642962,32.933117
雲仙市,41096,130.187508,32.835214
南島原市,42330,130.297783,32.659716
長与町,40780,129.875071,32.82517
時津町,29339,129.848527,32.828885
東彼杵町,7721,129.917149,33.037031
川棚町,13377,129.8616,33.072743
波佐見町,14291,129.895548,33.13789
小値賀町,2288,129.058766,33.191074
佐々町,13912,129.650353,33.238426
新上五島町,17503,129.073401,32.984553
熊本市,738865,130.707897,32.803078
八代市,123067,130.601808,32.507498
人吉市,31108,130.760157,32.205633
荒尾市,50832,130.433036,32.986838
水俣市,23557,130.408725,32.211883
玉名市,64292,130.562877,32.935266
山鹿市,49025,130.691297,33.016728
菊池市,46416,130.813241,32.979485
宇土市,36122,130.658562,32.687292
上天草市,24563,130.430405,32.587422
宇城市,57032,130.684287,32.647814
阿蘇市,24930,131.121389,32.952222
天草市,75783,130.19301,32.458621
合志市,61772,130.789726,32.885996
美里町,9392,130.789007,32.639609
玉東町,5045,130.628593,32.918905
南関町,8979,130.54364,33.059565
長洲町,15372,130.4527,32.929756
和水町,9342,130.605813,32.978158
大津町,35187,130.868653,32.877904
菊陽町,43337,130.828654,32.862515
南小国町,3750,131.070724,33.098192
小国町,6590,131.068157,33.121568
産山村,1382,131.216799,32.995747
高森町,5789,131.122023,32.827271
西原村,6426,130.903036,32.834719
南阿蘇村,9836,131.017881,32.845046
御船町,16303,130.801821,32.714585
嘉島町,9547,130.757303,32.740072
益城町,32510,130.817015,32.800608
甲佐町,10132,130.811466,32.651356
山都町,13503,130.990443,32.685387
氷川町,11094,130.673753,32.582402
芦北町,15681,130.493119,32.299102
津奈木町,4254,130.439621,32.233892
錦町,10288,130.840902,32.200987
多良木町,9076,130.935795,32.264039
湯前町,3627,130.980987,32.276144
水上村,2033,131.009541,32.314379
相良村,4070,130.797985,32.23526
五木村,931,130.827833,32.397343
山江村,3238,130.767136,32.246465
球磨村,2433,130.651274,32.252621
あさぎり町,14676,130.897827,32.240321
苓北町,7114,130.05472,32.513413
大分市,475614,131.609377,33.239526
別府市,115321,131.491328,33.284642
中津市,82863,131.18824,33.598302
日田市,62657,130.94131,33.321041
佐伯市,66851,131.899499,32.960204
臼杵市,36158,131.804638,33.125948
津久見市,16100,131.861219,33.072339
竹田市,20332,131.397838,32.973673
豊後高田市,22112,131.446931,33.556202
杵築市,27999,131.616089,33.417029
宇佐市,52771,131.350337,33.532327
豊後大野市,33695,131.585011,32.978152
由布市,32772,131.426792,33.179996
国東市,26232,131.732264,33.563327
姫島村,1725,131.645143,33.724536
日出町,27723,131.532536,33.369442
九重町,8541,131.188797,33.228521
玖珠町,14386,131.151553,33.283135
宮崎市,401339,131.420244,31.907676
都城市,160640,131.061497,31.719519
延岡市,118394,131.664859,32.582401
日南市,50848,131.378731,31.601932
小林市,43670,130.972674,31.996657
日向市,59629,131.623962,32.422947
串間市,16822,131.228306,31.464539
西都市,28610,131.400948,32.107862
えびの市,17638,130.810841,32.045347
三股町,25591,131.12492,31.730686
高原町,8639,131.00787,31.928413
国富町,18398,131.323535,31.990646
綾町,6934,131.253182,31.999135
高鍋町,19922,131.503341,32.12799
新富町,16564,131.487984,32.068937
西米良村,1000,131.154452,32.226354
木城町,4895,131.473354,32.163784
川南町,15194,131.525816,32.192009
都農町,9906,131.55969,32.256434
門川町,17379,131.646471,32.470914
諸塚村,1486,131.330319,32.512184
椎葉村,2503,131.158228,32.467408
美郷町,4826,131.423106,32.440256
高千穂町,11642,131.307871,32.711651
日之影町,3635,131.380921,32.659422
五ヶ瀬町,3472,131.19691,32.68338
鹿児島市,593128,130.557339,31.596789
鹿屋市,101096,130.852223,31.378268
枕崎市,20033,130.296991,31.272922
阿久根市,19270,130.192622,32.014364
出水市,51994,130.352647,32.090458
指宿市,39011,130.633118,31.252805
西之表市,14708,130.997035,30.732453
垂水市,13819,130.70093,31.492758
薩摩川内市,92403,130.30395,31.813486
日置市,47153,130.402436,31.633709
曽於市,33310,131.019255,31.653622
霧島市,123135,130.763136,31.741015
いちき串木野市,27490,130.271934,31.714542
南さつま市,32887,130.323494,31.41657
志布志市,29329,131.099826,31.477513
奄美市,41390,129.49378,28.377273
南九州市,33080,130.441623,31.378251
伊佐市,24453,130.612934,32.057152
姶良市,76348,130.627758,31.728213
三島村,405,130.560735,31.594533
十島村,740,130.560588,31.593157
さつま町,20243,130.45534,31.906331
長島町,9705,130.176919,32.19932
湧水町,9119,130.721025,31.951654
大崎町,12385,131.005592,31.429102
東串良町,6237,130.973339,31.38579
錦江町,6944,130.787485,31.243572
南大隅町,6481,130.768442,31.217486
肝付町,14227,130.945223,31.344362
中種子町,7539,130.958847,30.532821
南種子町,5445,130.900937,30.413905
屋久島町,11858,130.651119,30.389893
大和村,1364,129.395262,28.358076
宇検村,1621,129.297208,28.280773
瀬戸内町,8546,129.314734,28.146484
龍郷町,5817,129.589355,28.4133
喜界町,6629,129.940035,28.316838
徳之島町,10147,129.018622,27.726329
天城町,5517,128.897749,27.81166
伊仙町,6139,128.937584,27.673583
和泊町,6246,128.655253,27.392559
知名町,5750,128.573732,27.333676
与論町,5115,128.421638,27.044947
那覇市,317625,127.679218,26.212295
宜野湾市,100125,127.778637,26.281581
石垣市,47637,124.185246,24.344419
浦添市,115690,127.721804,26.245816
名護市,63554,127.977474,26.591555
糸満市,61007,127.665823,26.123542
沖縄市,142752,127.805694,26.334354
豊見城市,64612,127.681225,26.177136
うるま市,125303,127.85748,26.379151
宮古島市,52931,125.294752,24.789971
南城市,44043,127.770625,26.16319
国頭村,4517,128.178303,26.745725
大宜味村,3092,128.120159,26.701712
東村,1598,128.15687,26.633284
今帰仁村,8894,127.972739,26.682527
本部町,12530,127.898175,26.658035
恩納村,10869,127.85357,26.497502
宜野座村,5833,127.975615,26.481585
金武町,10806,127.926011,26.456137
伊江村,4118,127.807014,26.71349
読谷村,41206,127.744424,26.396154
嘉手納町,13521,127.75538,26.361723
北谷町,28201,127.763901,26.320069
北中城村,17969,127.79295,26.30077
中城村,22157,127.789618,26.26201
西原町,34984,127.758819,26.222856
与那原町,19695,127.754456,26.199577
南風原町,40440,127.728554,26.191122
渡嘉敷村,718,127.364289,26.197331
座間味村,892,127.303205,26.228949
粟国村,683,127.226965,26.582431
渡名喜村,346,127.141122,26.37211
南大東村,1285,131.231872,25.828903
北大東村,590,131.298917,25.945712
伊平屋村,1126,127.96862,27.039169
伊是名村,1322,127.941226,26.928305
久米島町,7192,126.805021,26.340669
八重瀬町,30941,127.718649,26.15834
多良間村,1058,124.701693,24.669449
竹富町,3942,124.154522,24.339518
与那国町,1676,123.004496,24.468034
