自治体,人口,経度,緯度
七ヶ浜町,18132,141.059143,38.304554
利府町,35182,140.975793,38.330355
大和町,28786,140.886309,38.43733
大郷町,7813,141.00446,38.424244
大衡村,5849,140.879982,38.467278
色麻町,6698,140.849876,38.548921
加美町,21943,140.854759,38.57177
涌谷町,15388,141.128105,38.539704
美里町,23994,141.056717,38.5444
女川町,6430,141.442693,38.445388
南三陸町,12225,141.462492,38.680666
秋田市,307672,140.102512,39.719929
能代市,49968,140.026641,40.212131
横手市,85555,140.566636,39.313777
大館市,69237,140.565241,40.271685
男鹿市,25154,139.8475,39.886721
湯沢市,42091,140.494683,39.164074
鹿角市,29088,140.788519,40.215789
由利本荘市,74707,140.048819,39.385814
潟上市,31720,140.013049,39.857288
大仙市,77657,140.475448,39.45309
北秋田市,30198,140.370728,40.226046
にかほ市,23435,139.907649,39.203067
仙北市,24610,140.730728,39.700044
小坂町,4780,140.736191,40.332926
上小阿仁村,2063,140.295736,40.063263
藤里町,2896,140.261879,40.278399
三種町,15254,140.004981,40.101615
八峰町,6577,140.038618,40.318715
五城目町,8538,140.111309,39.943895
八郎潟町,5583,140.073358,39.949023
井川町,4566,140.081265,39.914188
大潟村,3011,139.960064,40.017788
美郷町,18613,140.582127,39.461633
羽後町,13825,140.412881,39.199323
東成瀬村,2704,140.648892,39.179185
山形市,247590,140.339605,38.255436
米沢市,81252,140.11614,37.921869
鶴岡市,122347,139.826725,38.727183
酒田市,100273,139.836513,38.914386
新庄市,34432,140.301664,38.76496
寒河江市,40189,140.276068,38.380954
上山市,29110,140.26783,38.149562
村山市,22516,140.38038,38.483352
長井市,26543,140.033947,38.106088
天童市,62140,140.377802,38.362177
東根市,47682,140.391021,38.431292
尾花沢市,14971,140.405693,38.60062
南陽市,30420,140.148309,38.055116
山辺町,13725,140.26218,38.289217
中山町,10746,140.283051,38.333122
河北町,17641,140.31459,38.426632
西川町,4956,140.147661,38.426487
朝日町,6366,140.145924,38.299293
大江町,7646,140.206793,38.380713
大石田町,6577,140.372647,38.593877
金山町,5071,140.339367,38.88344
最上町,8080,140.519359,38.758467
舟形町,5007,140.319988,38.691417
真室川町,7203,140.251564,38.856918
大蔵村,3028,140.230368,38.704121
鮭川村,3902,140.222007,38.796455
戸沢村,4199,140.143569,38.737601
高畠町,22463,140.189113,38.002745
川西町,14558,140.053181,38.005203
小国町,7107,139.743333,38.061391
白鷹町,12890,140.098571,38.183069
飯豊町,6613,139.987617,38.045714
三川町,7601,139.849612,38.794529
庄内町,20151,139.904036,38.849558
遊佐町,13032,139.908662,39.014836
福島市,282693,140.474747,37.76083
会津若松市,117376,139.929707,37.494842
郡山市,327692,140.35965,37.400455
いわき市,332931,140.887687,37.050456
白河市,59491,140.210923,37.126379
須賀川市,74992,140.372655,37.286504
喜多方市,44760,139.874484,37.651134
相馬市,34865,140.918937,37.797353
二本松市,53557,140.431199,37.584783
田村市,35169,140.57631,37.440621
南相馬市,59005,140.957237,37.642197
伊達市,58240,140.562894,37.819095
本宮市,30236,140.393877,37.513162
桑折町,11459,140.520851,37.85472
国見町,8639,140.549273,37.87681
川俣町,12170,140.598244,37.664989
大玉村,8900,140.371058,37.534362
鏡石町,12318,140.343405,37.252858
天栄村,5194,140.247165,37.255576
下郷町,5264,139.872084,37.255571
檜枝岐村,504,139.388941,37.024141
只見町,4044,139.315789,37.348657
南会津町,14451,139.773215,37.200389
北塩原村,2556,139.937383,37.655673
西会津町,5770,139.649301,37.587396
磐梯町,3322,139.988766,37.562099
猪苗代町,13552,140.104794,37.557799
会津坂下町,15068,139.821732,37.561457
湯川村,3081,139.886756,37.565351
柳津町,3081,139.719552,37.526035
三島町,1452,139.644441,37.470292
金山町,1862,139.524524,37.453735
昭和村,1246,139.610666,37.335446
会津美里町,19014,139.834177,37.464985
西郷村,20808,140.155299,37.141767
泉崎村,6213,140.303363,37.153784
中島村,4885,140.35023,37.148756
矢吹町,17287,140.338493,37.201221
棚倉町,13343,140.379591,37.029867
矢祭町,5392,140.424755,36.871334
塙町,8302,140.409647,36.957238
鮫川村,3049,140.509699,37.042229
石川町,14644,140.446775,37.157072
玉川村,6392,140.408939,37.210718
平田村,5826,140.575655,37.221995
浅川町,6036,140.412852,37.080947
古殿町,4825,140.555692,37.089182
三春町,17018,140.493389,37.4405
小野町,9471,140.62628,37.286823
広野町,5412,140.994561,37.214403
楢葉町,3710,140.993465,37.282605
富岡町,2128,141.008652,37.345496
川内村,2044,140.809266,37.33768
大熊町,847,140.958264,37.382087
双葉町,0,141.006374,37.452904
浪江町,1923,141.000746,37.494594
葛尾村,420,140.764518,37.503547
新地町,7905,140.919591,37.876379
飯舘村,1318,140.735091,37.678947
水戸市,270685,140.471222,36.365861
日立市,174508,140.651546,36.599016
土浦市,142074,140.204143,36.078391
古河市,139344,139.755371,36.178228
石岡市,73061,140.287242,36.19084
結城市,50645,139.87147,36.289625
龍ケ崎市,76420,140.182265,35.911594
下妻市,42521,139.967374,36.184516
常総市,60834,139.993934,36.023563
常陸太田市,48602,140.530929,36.538227
高萩市,27699,140.709506,36.713674
北茨城市,41801,140.751032,36.801892
笠間市,73173,140.304232,36.345128
取手市,104524,140.050305,35.911474
牛久市,84651,140.149532,35.979397
つくば市,241656,140.076473,36.08356
ひたちなか市,156581,140.534676,36.396615
鹿嶋市,66950,140.644852,35.965721
潮来市,27604,140.555364,35.947134
守谷市,68421,139.975465,35.951327
常陸大宮市,39267,140.411012,36.542592
那珂市,53502,140.486726,36.457424
筑西市,100753,139.979417,36.305263
坂東市,52265,139.88868,36.048363
稲敷市,39039,140.303583,35.972927
かすみがうら市,40087,140.237006,36.151812
桜川市,39122,140.090478,36.327273
神栖市,95454,140.664527,35.889972
行方市,32185,140.4891,35.990166
鉾田市,45953,140.516437,36.158687
つくばみらい市,49872,140.037069,35.962911
小美玉市,48870,140.352589,36.239283
茨城町,31401,140.424517,36.286921
大洗町,15715,140.574888,36.313356
城里町,18097,140.376241,36.479297
東海村,37891,140.566301,36.472882
大子町,15736,140.363437,36.764415
美浦村,14602,140.301906,36.004554
阿見町,48553,140.214769,36.03087
河内町,8231,140.244516,35.884743
八千代町,21026,139.891145,36.181632
五霞町,8093,139.745832,36.114116
境町,24201,139.795054,36.108529
利根町,15340,140.139106,35.857825
宇都宮市,518757,139.882807,36.555115
足利市,144746,139.449696,36.340146
栃木市,155549,139.734111,36.382414
佐野市,116228,139.578356,36.314369
鹿沼市,94033,139.745045,36.566681
日光市,77661,139.698204,36.719861
小山市,166666,139.800778,36.314496
真岡市,78190,140.012467,36.440515
大田原市,72087,140.015458,36.871076
矢板市,31165,139.924226,36.806732
那須塩原市,115210,140.046044,36.96169
さくら市,44513,139.966474,36.685295
那須烏山市,24875,140.151376,36.656891
下野市,59507,139.85192,36.395227
上三川町,30806,139.910214,36.439268
益子町,21898,140.093381,36.467353
茂木町,11891,140.187535,36.532184
市貝町,11262,140.102113,36.543242
芳賀町,14961,140.058199,36.548212
壬生町,39474,139.814668,36.442178
野木町,24913,139.740818,36.233263
塩谷町,10354,139.850578,36.777605
高根沢町,29229,139.986672,36.630976
那須町,23956,140.121008,37.01977
那珂川町,15215,140.17282,36.736223
前橋市,332149,139.063493,36.389413
高崎市,372973,139.003355,36.32195
桐生市,106445,139.330646,36.40521
伊勢崎市,211850,139.19696,36.311341
太田市,223014,139.37536,36.291127
沼田市,45337,139.042784,36.64396
館林市,75309,139.542057,36.244841
渋川市,74581,139.000394,36.48948
藤岡市,63261,139.074564,36.258509
富岡市,47446,138.889954,36.259852
安中市,54907,138.887244,36.326298
みどり市,49648,139.281076,36.394819
榛東村,14216,138.967118,36.438647
吉岡町,21792,139.0097,36.447443
上野村,1128,138.777334,36.083135
神流町,1645,138.916991,36.116013
下仁田町,6576,138.789083,36.21247
南牧村,1611,138.711406,36.158553
甘楽町,12491,138.921752,36.243009
中之条町,15386,138.841075,36.589843
長野原町,5095,138.649837,36.544321
嬬恋村,8850,138.530298,36.516735
草津町,6049,138.596127,36.620711
高山村,3511,138.943477,36.620809
東吾妻町,12728,138.820571,36.571564
片品村,3993,139.225241,36.772549
川場村,3480,139.106512,36.694683
昭和村,6953,139.065881,36.639761
みなかみ町,17195,138.999055,36.67865
玉村町,36054,139.114916,36.304435
板倉町,14083,139.601938,36.225962
明和町,10882,139.534228,36.211283
千代田町,10861,139.442437,36.217754
大泉町,42089,139.404843,36.247862
邑楽町,25522,139.4623,36.252392
さいたま市,1324025,139.645502,35.861515
川越市,354571,139.48584,35.925112
熊谷市,194415,139.388664,36.147362
川口市,594274,139.7234,35.806733
行田市,78617,139.455646,36.138951
秩父市,59674,139.085475,35.991681
所沢市,342464,139.468613,35.799672
飯能市,80361,139.327791,35.85576
加須市,111623,139.601775,36.131438
本庄市,78569,139.190629,36.243329
東松山市,91791,139.39995,36.042162
春日部市,229792,139.752409,35.975305
狭山市,148699,139.412227,35.852907
羽生市,52862,139.548592,36.172667
鴻巣市,116828,139.522172,36.065758
深谷市,141268,139.281714,36.197018
上尾市,226940,139.593203,35.977408
草加市,248304,139.805327,35.825371
越谷市,341621,139.791037,35.890643
蕨市,74283,139.679758,35.825576
戸田市,140899,139.677931,35.817635
入間市,145651,139.391058,35.835769
朝霞市,141083,139.593919,35.797255
志木市,75346,139.580248,35.83659
和光市,83989,139.605693,35.781104
新座市,166017,139.56533,35.793497
桶川市,74748,139.558177,36.002966
久喜市,150582,139.666838,36.062059
北本市,65201,139.53024,36.027026
八潮市,93363,139.839175,35.822539
富士見市,111859,139.549074,35.856759
三郷市,142145,139.872247,35.830132
蓮田市,61499,139.6622,35.994504
坂戸市,100275,139.402983,35.957262
幸手市,50066,139.725805,36.078089
鶴ヶ島市,70117,139.393126,35.934523
日高市,54571,139.33914,35.907748
吉川市,71979,139.855651,35.895962
ふじみ野市,113597,139.51982,35.879396
白岡市,52214,139.676861,36.01907
伊奈町,44841,139.623877,35.999865
三芳町,38434,139.526514,35.828347
毛呂山町,35366,139.315954,35.941596
越生町,11029,139.294202,35.964478
滑川町,19732,139.360919,36.06599
嵐山町,17889,139.320514,36.056568
小川町,28524,139.261789,36.056657
川島町,19378,139.484352,35.992494
吉見町,18192,139.45373,36.039853
