jiscode,自治体,住所,緯度,経度,人口
1555,遠軽町,紋別郡遠軽町1条通北3-1-1,44.061947,143.527726,19241 
1559,湧別町,紋別郡湧別町上湧別屯田市街地318,44.151465,143.572919,8270 
1560,滝上町,紋別郡滝上町字滝ノ上市街地4条通2-1,44.19227,143.07765,2421 
1561,興部町,紋別郡興部町字興部710,44.469874,143.123699,3628 
1562,西興部村,紋別郡西興部村字西興部100,44.328833,142.944445,1053 
1563,雄武町,紋別郡雄武町本町,44.582482,142.961863,4199 
1564,大空町,網走郡大空町女満別西3条4丁目1-1,43.911858,144.172473,6775 
1571,豊浦町,虻田郡豊浦町字船見町10,42.583464,140.711815,3821 
1575,壮瞥町,有珠郡壮瞥町字滝之町287-7,42.552556,140.885472,2743 
1578,白老町,白老郡白老町大町1-1-1,42.551259,141.355861,16212 
1581,厚真町,勇払郡厚真町京町120,42.723566,141.877841,4432 
1584,洞爺湖町,虻田郡洞爺湖町栄町58,42.551223,140.764128,8442 
1585,安平町,勇払郡安平町早来大町95,42.762798,141.818047,7340 
1586,むかわ町,勇払郡むかわ町美幸2-88,42.574741,141.926761,7651 
1601,日高町,沙流郡日高町門別本町210-1,42.480318,142.074359,11279 
1602,平取町,沙流郡平取町本町28,42.585098,142.128525,4776 
1604,新冠町,新冠郡新冠町字北星町3-2,42.362417,142.318315,5309 
1607,浦河町,浦河郡浦河町築地1-3-1,42.168355,142.768213,12074 
1608,様似町,様似郡様似町大通1-21,42.127737,142.933797,4043 
1609,えりも町,幌泉郡えりも町字本町206,42.016298,143.148348,4374 
1610,新ひだか町,日高郡新ひだか町静内御幸町3丁目2-50,42.341276,142.368588,21517 
1631,音更町,河東郡音更町元町2,42.994115,143.197869,43576 
1632,士幌町,河東郡士幌町字士幌225,43.168047,143.241344,5848 
1633,上士幌町,河東郡上士幌町字上士幌東3線238,43.232615,143.296243,4778 
1634,鹿追町,河東郡鹿追町東町1-15-1,43.098876,142.989028,5266 
1635,新得町,上川郡新得町3条南4-26,43.079741,142.838822,5817 
1636,清水町,上川郡清水町南4条2-2,43.011423,142.884568,9094 
1637,芽室町,河西郡芽室町東2条2-14,42.911547,143.050835,18048 
1638,中札内村,河西郡中札内村東1条南1丁目2番地1,42.697864,143.134395,3884 
1639,更別村,河西郡更別村字更別南1線93,42.650415,143.187794,3080 
1641,大樹町,広尾郡大樹町東本通33,42.497698,143.278989,5420 
1642,広尾町,広尾郡広尾町西4条7-1,42.285841,143.311498,6387 
1643,幕別町,中川郡幕別町本町130-1,42.908198,143.356085,25766 
1644,池田町,中川郡池田町西1条7-11,42.92898,143.448472,6294 
1645,豊頃町,中川郡豊頃町茂岩本町125,42.801023,143.5059,3022 
1646,本別町,中川郡本別町北2-4-1,43.124615,143.610962,6618 
1647,足寄町,足寄郡足寄町北1条4-48-1,43.244786,143.55393,6563 
1648,陸別町,足寄郡陸別町字陸別東1条3-1,43.468914,143.747305,2264 
1649,浦幌町,十勝郡浦幌町字桜町15-6,42.808947,143.658581,4387 
1661,釧路町,釧路郡釧路町別保1-1,42.996124,144.466081,19105 
1662,厚岸町,厚岸郡厚岸町真栄3丁目1番地,43.051951,144.847443,8892 
1663,浜中町,厚岸郡浜中町湯沸445番地,43.076292,145.130953,5507 
1664,標茶町,川上郡標茶町川上4-2,43.303337,144.600665,7230 
1665,弟子屈町,川上郡弟子屈町中央2-3-1,43.485352,144.459223,6955 
1667,鶴居村,阿寒郡鶴居村鶴居西1-1,43.23016,144.321165,2558 
1668,白糠町,白糠郡白糠町西1条南1-1-1,42.956161,144.071805,7289 
1691,別海町,野付郡別海町別海常盤町280,43.39399,145.117341,14380 
1692,中標津町,標津郡中標津町丸山2-22,43.555191,144.971504,23010 
1693,標津町,標津郡標津町北2条西1-1-3,43.661309,145.131325,5023 
1694,羅臼町,目梨郡羅臼町栄町100-83,44.021953,145.189532,4722 
2201,青森市,青森市中央1-22-5,40.82264,140.746957,275192 
2202,弘前市,弘前市大字上白銀町1-1,40.602965,140.464008,168466 
2203,八戸市,八戸市内丸1-1-1,40.512278,141.488404,223415 
2204,黒石市,黒石市大字市ノ町11-1,40.642608,140.594547,31946 
2205,五所川原市,五所川原市字布屋町41-1,40.807835,140.446118,51415 
2206,十和田市,十和田市西十二番町6-1,40.612703,141.20591,60378 
2207,三沢市,三沢市桜町1-1-38,40.683078,141.369093,39152 
2208,むつ市,むつ市中央1丁目8-1,41.292835,141.183174,54103 
2209,つがる市,つがる市木造若緑61-1,40.808836,140.380195,30934 
2210,平川市,平川市柏木町藤山25-6,40.583742,140.567123,30567 
2301,平内町,東津軽郡平内町大字小湊字小湊63,40.926023,140.955884,10126 
2303,今別町,東津軽郡今別町大字今別字今別167,41.181875,140.48161,2334 
2304,蓬田村,東津軽郡蓬田村大字蓬田字汐越1-3,40.971779,140.656053,2540 
2307,外ヶ浜町,東津軽郡外ヶ浜町字蟹田高銅屋44-2,41.043159,140.632243,5401 
2321,鰺ヶ沢町,西津軽郡鰺ヶ沢町大字舞戸町字鳴戸321番地,40.783011,140.233912,9044 
2323,深浦町,西津軽郡深浦町大字深浦字苗代沢84-2,40.647876,139.927431,7346 
2343,西目屋村,中津軽郡西目屋村大字田代字神田57番地,40.577437,140.297171,1265 
2361,藤崎町,南津軽郡藤崎町大字西豊田1-1,40.656064,140.502824,14573 
2362,大鰐町,南津軽郡大鰐町大字大鰐字羽黒館5-3,40.518356,140.567878,8665 
2367,田舎館村,南津軽郡田舎館村大字田舎館字中辻123-1,40.631259,140.550198,7326 
2381,板柳町,北津軽郡板柳町大字板柳字土井239-3,40.695954,140.4577,12700 
2384,鶴田町,北津軽郡鶴田町大字鶴田字早瀬200-1,40.758819,140.428702,12074 
2387,中泊町,北津軽郡中泊町大字中里字紅葉坂209,40.960427,140.434122,9657 
2401,野辺地町,上北郡野辺地町字野辺地123-1,40.864447,141.128685,12374 
2402,七戸町,上北郡七戸町字森ノ上131-4,40.744714,141.157991,14556 
2405,六戸町,上北郡六戸町大字犬落瀬字前谷地60,40.609526,141.324958,10447 
2406,横浜町,上北郡横浜町字寺下35,41.083155,141.247782,4229 
2408,東北町,上北郡東北町上北南4-32-484,40.727871,141.257888,16428 
2411,六ヶ所村,上北郡六ヶ所村大字尾駮字野附475,40.967375,141.374434,10367 
2412,おいらせ町,上北郡おいらせ町中下田135-2,40.599104,141.397822,24273 
2423,大間町,下北郡大間町大字大間字奥戸下道20-4,41.522388,140.90483,4718 
